Shampoo Bottle grasping and Ungrasping
14:23:45:440 -> 61346,1200,S0=41.30 mA, S1=57.70 mA, S2=61.78 mA, S3=10.05 mA, S4=56.97 mA
14:23:45:746 -> 61651,1200,S0=57.80 mA, S1=57.08 mA, S2=59.35 mA, S3=10.10 mA, S4=54.35 mA
14:23:46:052 -> Enter next command:
14:23:46:052 -> 61960,1200,S0=59.53 mA, S1=50.38 mA, S2=58.43 mA, S3=9.98 mA, S4=68.12 mA
14:23:46:598 -> FSR Live: PB0=0.01, PA7=0.03, PA6=23.61, PA5=0.10, PA4=35.97, PA3=12.90, PA2=0.06, PA1=0.10, PA0=0.05
14:23:46:844 -> FSR Live: PB0=0.01, PA7=0.00, PA6=24.21, PA5=0.03, PA4=35.55, PA3=12.71, PA2=0.01, PA1=0.11, PA0=0.05
14:23:47:089 -> FSR Live: PB0=0.00, PA7=0.01, PA6=24.95, PA5=0.00, PA4=35.46, PA3=12.66, PA2=0.09, PA1=0.06, PA0=0.15
14:23:47:095 -> 63004,1200,S0=59.03 mA, S1=57.18 mA, S2=57.50 mA, S3=10.15 mA, S4=53.08 mA
14:23:47:642 -> FSR Live: PB0=0.03, PA7=0.03, PA6=26.11, PA5=0.05, PA4=35.79, PA3=12.77, PA2=0.06, PA1=0.06, PA0=0.05
14:23:47:888 -> FSR Live: PB0=0.04, PA7=0.01, PA6=26.41, PA5=0.05, PA4=38.01, PA3=12.69, PA2=0.06, PA1=0.04, PA0=0.10
14:23:48:133 -> =====================================
14:23:48:133 -> STABLE → DATA SAVED
14:23:48:138 -> FSR Snapshot: PB0=0.01, PA7=0.00, PA6=26.89, PA5=0.00, PA4=37.25, PA3=12.52, PA2=0.12, PA1=0.03, PA0=0.10
14:23:48:144 -> =====================================
14:23:48:149 -> FSR Live: PB0=0.01, PA7=0.00, PA6=26.89, PA5=0.00, PA4=37.25, PA3=12.52, PA2=0.12, PA1=0.03, PA0=0.10
14:23:48:160 -> 64066,1200,S0=49.40 mA, S1=54.45 mA, S2=57.80 mA, S3=10.05 mA, S4=53.33 mA
14:23:48:702 -> FSR Live: PB0=0.00, PA7=0.03, PA6=26.51, PA5=0.04, PA4=35.16, PA3=12.95, PA2=0.12, PA1=0.08, PA0=0.09
14:23:48:948 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.76, PA5=0.03, PA4=37.45, PA3=12.89, PA2=0.05, PA1=0.08, PA0=0.05
14:23:49:194 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.61, PA5=0.04, PA4=36.34, PA3=12.81, PA2=0.06, PA1=0.08, PA0=0.06
14:23:49:199 -> 65108,1200,S0=50.20 mA, S1=54.58 mA, S2=57.50 mA, S3=10.15 mA, S4=54.28 mA
14:23:49:745 -> FSR Live: PB0=0.01, PA7=0.01, PA6=26.65, PA5=0.03, PA4=35.13, PA3=13.06, PA2=0.06, PA1=0.05, PA0=0.10
14:23:49:990 -> FSR Live: PB0=0.03, PA7=0.00, PA6=26.91, PA5=0.03, PA4=37.11, PA3=12.98, PA2=0.06, PA1=0.08, PA0=0.08
14:23:49:996 -> Moving servos (us): 900
14:23:50:001 -> 65906,900,S0=49.63 mA, S1=54.75 mA, S2=57.88 mA, S3=10.10 mA, S4=49.33 mA
