12:59:15:161 -> Moving servos (us): 2213
12:59:15:161 -> Moving servos (us): 2213
12:59:15:166 -> Moving servos (us): 2212
12:59:15:166 -> Moving servos (us): 2211
12:59:15:172 -> Moving servos (us): 2210
12:59:15:172 -> Moving servos (us): 2210
12:59:15:172 -> Moving servos (us): 2209
12:59:15:177 -> Moving servos (us): 2209
12:59:15:177 -> Moving servos (us): 2209
12:59:15:182 -> Moving servos (us): 2208
12:59:15:182 -> Moving servos (us): 2208
12:59:15:182 -> Moving servos (us): 2206
12:59:15:187 -> Moving servos (us): 2206
12:59:15:187 -> Moving servos (us): 2206
12:59:15:193 -> Moving servos (us): 2205
12:59:15:193 -> Moving servos (us): 2205
12:59:15:198 -> Moving servos (us): 2204
12:59:15:198 -> Moving servos (us): 2203
12:59:15:198 -> Moving servos (us): 2203
12:59:15:204 -> Moving servos (us): 2203
12:59:15:204 -> Moving servos (us): 2202
12:59:15:209 -> Moving servos (us): 2201
12:59:15:209 -> Moving servos (us): 2201
12:59:15:209 -> Moving servos (us): 2200
12:59:15:214 -> Moving servos (us): 2200
12:59:15:214 -> Moving servos (us): 2200
12:59:15:220 -> Moving servos (us): 2198
12:59:15:220 -> Moving servos (us): 2198
12:59:15:227 -> Moving servos (us): 2198
12:59:15:227 -> Moving servos (us): 2198
12:59:15:227 -> Moving servos (us): 2197
12:59:15:231 -> Moving servos (us): 2196
12:59:15:231 -> Moving servos (us): 2196
12:59:15:236 -> Moving servos (us): 2195
12:59:15:236 -> Moving servos (us): 2195
12:59:15:242 -> Moving servos (us): 2194
12:59:15:242 -> Moving servos (us): 2193
12:59:15:242 -> Moving servos (us): 2193
12:59:15:247 -> Moving servos (us): 2192
12:59:15:247 -> Moving servos (us): 2192
12:59:15:253 -> Moving servos (us): 2192
12:59:15:253 -> Moving servos (us): 2191
12:59:15:253 -> Moving servos (us): 2190
12:59:15:258 -> Moving servos (us): 2189
12:59:15:258 -> Moving servos (us): 2189
12:59:15:263 -> Moving servos (us): 2189
12:59:15:263 -> Moving servos (us): 2188
12:59:15:271 -> Moving servos (us): 2188
12:59:15:271 -> Moving servos (us): 2186
12:59:15:271 -> Moving servos (us): 2186
12:59:15:274 -> Moving servos (us): 2186
12:59:15:274 -> Moving servos (us): 2186
12:59:15:279 -> Moving servos (us): 2185
12:59:15:279 -> Moving servos (us): 2184
12:59:15:279 -> Moving servos (us): 2184
12:59:15:285 -> Moving servos (us): 2183
12:59:15:285 -> Moving servos (us): 2183
12:59:15:290 -> Moving servos (us): 2182
12:59:15:290 -> Moving servos (us): 2181
12:59:15:296 -> Moving servos (us): 2181
12:59:15:296 -> Moving servos (us): 2181
12:59:15:296 -> Moving servos (us): 2180
12:59:15:301 -> Moving servos (us): 2180
12:59:15:301 -> Moving servos (us): 2179
12:59:15:306 -> Moving servos (us): 2178
12:59:15:306 -> Moving servos (us): 2178
12:59:15:313 -> 78158,2178,S0=123.27 mA, S1=36.72 mA, S2=41.88 mA, S3=35.35 mA, S4=36.78 mA
12:59:15:318 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=5.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:15:324 -> Moving servos (us): 2173
12:59:15:329 -> Moving servos (us): 2173
12:59:15:329 -> Moving servos (us): 2173
12:59:15:334 -> Moving servos (us): 2172
12:59:15:334 -> Moving servos (us): 2171
12:59:15:334 -> Moving servos (us): 2171
12:59:15:340 -> Moving servos (us): 2170
12:59:15:340 -> Moving servos (us): 2169
12:59:15:345 -> Moving servos (us): 2169
12:59:15:345 -> Moving servos (us): 2168
12:59:15:351 -> Moving servos (us): 2168
12:59:15:351 -> Moving servos (us): 2168
12:59:15:351 -> Moving servos (us): 2166
12:59:15:356 -> Moving servos (us): 2166
12:59:15:356 -> Moving servos (us): 2166
12:59:15:362 -> Moving servos (us): 2166
12:59:15:362 -> Moving servos (us): 2165
12:59:15:367 -> Moving servos (us): 2164
12:59:15:367 -> Moving servos (us): 2163
