FSR Live: PB0=269.60, PA7=0.57, PA6=126.68, PA5=216.63, PA4=256.05, PA3=274.49, PA2=284.60, PA1=287.11, PA0=336.09
FSR Live: PB0=269.54, PA7=0.57, PA6=126.44, PA5=216.11, PA4=255.85, PA3=274.61, PA2=284.92, PA1=287.33, PA0=335.91
FSR Live: PB0=270.09, PA7=0.43, PA6=126.59, PA5=216.63, PA4=256.14, PA3=274.83, PA2=284.91, PA1=287.35, PA0=336.94
FSR Live: PB0=269.96, PA7=0.74, PA6=126.64, PA5=216.15, PA4=255.98, PA3=274.83, PA2=284.89, PA1=287.74, PA0=336.60
FSR Live: PB0=269.99, PA7=0.47, PA6=126.66, PA5=216.38, PA4=256.04, PA3=274.67, PA2=284.70, PA1=287.35, PA0=336.33
FSR Live: PB0=270.16, PA7=0.64, PA6=126.62, PA5=216.41, PA4=255.86, PA3=274.14, PA2=284.30, PA1=287.61, PA0=336.81
FSR Live: PB0=269.39, PA7=0.81, PA6=126.68, PA5=216.75, PA4=256.15, PA3=274.74, PA2=284.69, PA1=287.21, PA0=336.08
FSR Live: PB0=270.39, PA7=0.68, PA6=126.66, PA5=216.84, PA4=256.05, PA3=274.50, PA2=284.85, PA1=287.64, PA0=336.89
FSR Live: PB0=270.04, PA7=0.63, PA6=126.44, PA5=216.25, PA4=255.80, PA3=274.33, PA2=284.61, PA1=287.42, PA0=336.65
FSR Live: PB0=269.40, PA7=0.99, PA6=126.64, PA5=216.91, PA4=256.02, PA3=273.84, PA2=284.20, PA1=287.33, PA0=335.98
FSR Live: PB0=269.69, PA7=0.57, PA6=126.57, PA5=216.29, PA4=255.94, PA3=274.85, PA2=285.10, PA1=287.49, PA0=336.05
FSR Live: PB0=269.88, PA7=0.83, PA6=126.77, PA5=216.84, PA4=256.23, PA3=274.59, PA2=284.94, PA1=287.48, PA0=336.44
FSR Live: PB0=270.25, PA7=0.59, PA6=126.62, PA5=216.76, PA4=256.14, PA3=274.36, PA2=284.29, PA1=287.38, PA0=337.30
FSR Live: PB0=269.94, PA7=0.84, PA6=126.70, PA5=216.69, PA4=256.01, PA3=274.35, PA2=284.36, PA1=286.89, PA0=336.11
FSR Live: PB0=269.90, PA7=0.59, PA6=126.74, PA5=216.65, PA4=256.11, PA3=274.74, PA2=284.50, PA1=286.44, PA0=336.49
FSR Live: PB0=270.08, PA7=0.59, PA6=126.80, PA5=216.41, PA4=256.01, PA3=274.86, PA2=284.44, PA1=286.33, PA0=336.74
FSR Live: PB0=269.92, PA7=0.70, PA6=126.54, PA5=216.35, PA4=255.96, PA3=275.01, PA2=285.04, PA1=286.89, PA0=336.56
FSR Live: PB0=269.95, PA7=0.65, PA6=126.49, PA5=216.16, PA4=255.88, PA3=274.79, PA2=284.92, PA1=287.27, PA0=336.56
FSR Live: PB0=269.80, PA7=0.76, PA6=126.80, PA5=217.02, PA4=256.23, PA3=274.44, PA2=284.55, PA1=287.39, PA0=336.58
FSR Live: PB0=269.41, PA7=0.66, PA6=126.41, PA5=216.14, PA4=255.61, PA3=274.04, PA2=284.40, PA1=287.36, PA0=336.05
FSR Live: PB0=269.15, PA7=0.79, PA6=126.80, PA5=216.60, PA4=255.90, PA3=273.96, PA2=284.24, PA1=287.21, PA0=335.89
FSR Live: PB0=270.14, PA7=0.76, PA6=126.64, PA5=216.89, PA4=256.35, PA3=274.59, PA2=284.60, PA1=287.20, PA0=336.89
FSR Live: PB0=270.06, PA7=0.71, PA6=126.79, PA5=216.48, PA4=255.94, PA3=274.61, PA2=284.95, PA1=287.45, PA0=336.23
FSR Live: PB0=269.48, PA7=0.57, PA6=126.49, PA5=216.31, PA4=255.93, PA3=274.63, PA2=284.61, PA1=287.21, PA0=336.09
FSR Live: PB0=269.90, PA7=0.83, PA6=126.70, PA5=216.81, PA4=256.33, PA3=274.70, PA2=284.42, PA1=286.95, PA0=336.66
FSR Live: PB0=270.26, PA7=0.60, PA6=126.52, PA5=216.29, PA4=255.96, PA3=274.83, PA2=284.85, PA1=287.60, PA0=337.09
FSR Live: PB0=270.65, PA7=0.88, PA6=126.66, PA5=216.63, PA4=255.76, PA3=273.92, PA2=283.96, PA1=287.08, PA0=337.21
FSR Live: PB0=270.02, PA7=0.57, PA6=126.64, PA5=216.44, PA4=255.88, PA3=274.35, PA2=284.81, PA1=287.84, PA0=336.55
FSR Live: PB0=270.09, PA7=0.68, PA6=126.62, PA5=216.43, PA4=256.10, PA3=274.79, PA2=284.90, PA1=287.36, PA0=336.27
FSR Live: PB0=270.08, PA7=0.73, PA6=126.49, PA5=216.69, PA4=256.01, PA3=274.09, PA2=284.15, PA1=286.92, PA0=336.59
FSR Live: PB0=269.40, PA7=0.64, PA6=126.64, PA5=216.46, PA4=256.23, PA3=274.61, PA2=284.46, PA1=286.90, PA0=336.00
FSR Live: PB0=269.79, PA7=0.63, PA6=126.59, PA5=216.36, PA4=256.04, PA3=274.59, PA2=284.67, PA1=287.05, PA0=336.13
FSR Live: PB0=269.84, PA7=0.77, PA6=126.36, PA5=216.31, PA4=256.33, PA3=275.39, PA2=285.11, PA1=286.81, PA0=336.13
FSR Live: PB0=270.27, PA7=0.68, PA6=126.57, PA5=216.15, PA4=255.73, PA3=274.26, PA2=284.13, PA1=287.00, PA0=337.26
FSR Live: PB0=269.96, PA7=1.06, PA6=126.82, PA5=216.69, PA4=256.02, PA3=274.21, PA2=284.54, PA1=287.61 ,PA0=336.48
FSR Live: PB0=270.25, PA7=0.81, PA6=126.60, PA5=216.39, PA4=255.83, PA3=274.31, PA2=284.48, PA1=287.29, PA0=336.88
FSR Live: PB0=270.16, PA7=0.69, PA6=126.50, PA5=216.35, PA4=255.86, PA3=274.49, PA2=284.36, PA1=287.33, PA0=336.70
FSR Live: PB0=269.69, PA7=0.91, PA6=126.62, PA5=216.64, PA4=256.26, PA3=274.77, PA2=284.92, PA1=287.56, PA0=336.20
FSR Live: PB0=270.00, PA7=0.54, PA6=126.51, PA5=216.40, PA4=256.23, PA3=274.99, PA2=285.20, PA1=287.26, PA0=336.20
FSR Live: PB0=269.92, PA7=0.60, PA6=126.66, PA5=216.20, PA4=255.85, PA3=274.80, PA2=284.63, PA1=286.64, PA0=336.27
FSR Live: PB0=269.91, PA7=0.66, PA6=126.77, PA5=216.88, PA4=256.20, PA3=274.30, PA2=284.40, PA1=287.39, PA0=336.54
FSR Live: PB0=270.35, PA7=0.91, PA6=126.74, PA5=216.81, PA4=256.09, PA3=274.40, PA2=284.56, PA1=287.23, PA0=336.67
FSR Live: PB0=269.95, PA7=0.61, PA6=126.77, PA5=216.70, PA4=256.15, PA3=274.16, PA2=284.36, PA1=287.45, PA0=336.44
FSR Live: PB0=269.88, PA7=0.57, PA6=126.65, PA5=216.71, PA4=256.26, PA3=274.79, PA2=285.19, PA1=287.86, PA0=336.46
FSR Live: PB0=269.66, PA7=0.63, PA6=126.45, PA5=216.04, PA4=255.64, PA3=274.51, PA2=284.74, PA1=287.49, PA0=336.17
FSR Live: PB0=270.26, PA7=0.35, PA6=126.35, PA5=217.61, PA4=256.50, PA3=274.33, PA2=284.54, PA1=287.73, PA0=337.34
FSR Live: PB0=270.33, PA7=0.14, PA6=126.01, PA5=217.81, PA4=256.44, PA3=273.59, PA2=283.85, PA1=287.08, PA0=336.86
FSR Live: PB0=270.86, PA7=0.14, PA6=126.02, PA5=217.84, PA4=256.44, PA3=273.96, PA2=284.16, PA1=287.45, PA0=337.41
FSR Live: PB0=269.64, PA7=0.14, PA6=126.25, PA5=218.48, PA4=257.01, PA3=273.98, PA2=284.35, PA1=287.51, PA0=336.54
FSR Live: PB0=270.26, PA7=0.15, PA6=126.10, PA5=217.98, PA4=256.75, PA3=27398., PA2=284.27, PA1=287.48, PA0=337.16
FSR Live: PB0=270.30, PA7=0.12, PA6=126.07, PA5=217.77, PA4=256.51, PA3=274.00, PA2=283.96, PA1=286.83, PA0=336.90
FSR Live: PB0=269.86, PA7=0.09, PA6=126.21, PA5=218.23, PA4=256.77, PA3=273.88, PA2=284.35, PA1=287.70, PA0=336.86
FSR Live: PB0=270.00, PA7=0.20, PA6=126.19, PA5=218.29, PA4=256.77, PA3=273.60, PA2=283.90, PA1=287.27, PA0=336.73
FSR Live: PB0=270.10, PA7=0.36, PA6=126.41, PA5=216.43, PA4=255.95, PA3=274.51, PA2=284.69, PA1=287.34, PA0=336.56
FSR Live: PB0=269.85, PA7=0.73, PA6=126.49, PA5=215.88, PA4=255.88, PA3=274.95, PA2=285.08, PA1=287.26, PA0=336.34
FSR Live: PB0=270.10, PA7=0.68, PA6=126.57, PA5=216.69, PA4=256.24, PA3=274.58, PA2=284.38, PA1=286.73, PA0=336.74
FSR Live: PB0=269.66, PA7=0.84, PA6=126.84, PA5=217.01, PA4=256.49, PA3=274.46, PA2=284.75, PA1=287.38, PA0=336.38
FSR Live: PB0=270.00, PA7=0.63, PA6=126.68, PA5=216.40, PA4=255.76, PA3=274.36, PA2=284.61, PA1=287.45, PA0=336.64
FSR Live: PB0=269.69, PA7=0.57, PA6=126.64, PA5=216.68, PA4=256.14, PA3=274.36, PA2=284.67, PA1=286.83, PA0=336.66
FSR Live: PB0=269.51, PA7=0.57, PA6=126.72, PA5=216.86, PA4=256.34, PA3=274.46, PA2=284.58, PA1=287.25, PA0=336.25
FSR Live: PB0=270.00, PA7=0.91, PA6=126.55, PA5=216.69, PA4=256.31, PA3=274.90, PA2=284.88, PA1=287.25, PA0=336.67
FSR Live: PB0=269.91, PA7=0.54, PA6=126.50, PA5=216.41, PA4=255.94, PA3=274.51, PA2=284.51, PA1=286.95, PA0=336.36
FSR Live: PB0=270.05, PA7=0.74, PA6=126.80, PA5=216.48, PA4=256.02, PA3=274.79, PA2=284.56, PA1=286.52, PA0=336.51
FSR Live: PB0=270.81, PA7=0.63, PA6=126.49, PA5=216.84, PA4=256.27, PA3=274.48, PA2=284.27, PA1=287.23, PA0=337.70
FSR Live: PB0=269.63, PA7=0.71, PA6=126.64, PA5=216.41, PA4=256.30, PA3=274.95, PA2=285.11, PA1=287.73, PA0=336.50
FSR Live: PB0=269.71, PA7=0.74, PA6=126.76, PA5=216.26, PA4=255.83, PA3=274.36, PA2=284.69, PA1=287.36, PA0=336.48
FSR Live: PB0=269.71, PA7=0.66, PA6=126.72, PA5=216.31, PA4=255.86, PA3=274.59, PA2=284.86, PA1=287.61, PA0=336.40
FSR Live: PB0=269.44, PA7=0.66, PA6=126.49, PA5=216.30, PA4=255.85, PA3=274.67, PA2=284.77, PA1=287.05, PA0=336.05
FSR Live: PB0=270.04, PA7=0.60, PA6=126.56, PA5=216.52, PA4=256.30, PA3=275.05, PA2=284.92, PA1=287.19, PA0=336.83
FSR Live: PB0=270.21, PA7=0.43, PA6=126.54, PA5=215.90, PA4=255.54, PA3=274.63, PA2=284.88, PA1=287.24, PA0=336.70
FSR Live: PB0=269.84, PA7=0.51, PA6=126.47, PA5=216.46, PA4=256.19, PA3=274.67, PA2=284.77, PA1=287.04, PA0=336.46
