14:33:46:408 -> Moving servos (us): 2073
14:33:46:408 -> Moving servos (us): 2073
14:33:46:408 -> Moving servos (us): 2072
14:33:46:414 -> Moving servos (us): 2072
14:33:46:414 -> Moving servos (us): 2071
14:33:46:419 -> Moving servos (us): 2071
14:33:46:419 -> Moving servos (us): 2070
14:33:46:425 -> Moving servos (us): 2070
14:33:46:425 -> Moving servos (us): 2069
14:33:46:425 -> Moving servos (us): 2068
14:33:46:430 -> Moving servos (us): 2068
14:33:46:430 -> Moving servos (us): 2068
14:33:46:436 -> Moving servos (us): 2067
14:33:46:436 -> Moving servos (us): 2067
14:33:46:436 -> Moving servos (us): 2065
14:33:46:441 -> Moving servos (us): 2065
14:33:46:441 -> Moving servos (us): 2065
14:33:46:446 -> Moving servos (us): 2065
14:33:46:446 -> Moving servos (us): 2064
14:33:46:452 -> Moving servos (us): 2063
14:33:46:452 -> Moving servos (us): 2063
14:33:46:452 -> Moving servos (us): 2062
14:33:46:457 -> Moving servos (us): 2062
14:33:46:457 -> Moving servos (us): 2062
14:33:46:463 -> Moving servos (us): 2060
14:33:46:463 -> Moving servos (us): 2060
14:33:46:463 -> Moving servos (us): 2060
14:33:46:468 -> Moving servos (us): 2059
14:33:46:468 -> Moving servos (us): 2059
